"Educational level","Economical activity","Year","Women given birth"
"Professional higher education","Staying at home","2001",14
"Professional higher education","Staying at home","2002",11
"Professional higher education","Staying at home","2003",15
"Professional higher education","Staying at home","2004",29
"Professional higher education","Staying at home","2005",48
"Professional higher education","Staying at home","2006",39
"Professional higher education","Staying at home","2007",42
"Professional higher education","Staying at home","2008",50
"Professional higher education","Staying at home","2009",65
"Professional higher education","Staying at home","2010",121
"Professional higher education","Staying at home","2011",108
"Professional higher education","Staying at home","2012",101
"Professional higher education","Staying at home","2013",87
"Professional higher education","Staying at home","2014",89
"Professional higher education","Staying at home","2015",93
"Professional higher education","Staying at home","2016",92
"Professional higher education","Staying at home","2017",88
"Professional higher education","Staying at home","2018",78
"Professional higher education","Staying at home","2019",103
"Professional higher education","Staying at home","2020",99
"Professional higher education","Staying at home","2021",89
"Professional higher education","Staying at home","2022",74
"Professional higher education","Staying at home","2023",79
"Professional higher education","Staying at home","2024",50
"Professional higher education","Economical activity unknown","1992",0
"Professional higher education","Economical activity unknown","1993",0
"Professional higher education","Economical activity unknown","1994",0
"Professional higher education","Economical activity unknown","1995",0
"Professional higher education","Economical activity unknown","1996",0
"Professional higher education","Economical activity unknown","1997",0
"Professional higher education","Economical activity unknown","1998",0
"Professional higher education","Economical activity unknown","1999",0
"Professional higher education","Economical activity unknown","2000",0
"Professional higher education","Economical activity unknown","2001",0
"Professional higher education","Economical activity unknown","2002",0
"Professional higher education","Economical activity unknown","2003",0
"Professional higher education","Economical activity unknown","2004",0
"Professional higher education","Economical activity unknown","2005",1
"Professional higher education","Economical activity unknown","2006",0
"Professional higher education","Economical activity unknown","2007",3
"Professional higher education","Economical activity unknown","2008",0
"Professional higher education","Economical activity unknown","2009",0
"Professional higher education","Economical activity unknown","2010",0
"Professional higher education","Economical activity unknown","2011",0
"Professional higher education","Economical activity unknown","2012",0
"Professional higher education","Economical activity unknown","2013",0
"Professional higher education","Economical activity unknown","2014",0
"Professional higher education","Economical activity unknown","2015",1
"Professional higher education","Economical activity unknown","2016",0
"Professional higher education","Economical activity unknown","2017",0
"Professional higher education","Economical activity unknown","2018",0
"Professional higher education","Economical activity unknown","2019",4
"Professional higher education","Economical activity unknown","2020",2
"Professional higher education","Economical activity unknown","2021",4
"Professional higher education","Economical activity unknown","2022",3
"Professional higher education","Economical activity unknown","2023",2
"Professional higher education","Economical activity unknown","2024",2
"University education","Economical activity total","1992",2381
"University education","Economical activity total","1993",2009
"University education","Economical activity total","1994",1643
"University education","Economical activity total","1995",1663
"University education","Economical activity total","1996",1612
"University education","Economical activity total","1997",1638
"University education","Economical activity total","1998",1637
"University education","Economical activity total","1999",1763
"University education","Economical activity total","2000",1877
"University education","Economical activity total","2001",1983
"University education","Economical activity total","2002",2233
"University education","Economical activity total","2003",2447
"University education","Economical activity total","2004",3034
"University education","Economical activity total","2005",3269
"University education","Economical activity total","2006",3814
"University education","Economical activity total","2007",4245
"University education","Economical activity total","2008",4514
"University education","Economical activity total","2009",4653
"University education","Economical activity total","2010",4941
"University education","Economical activity total","2011",4606
"University education","Economical activity total","2012",4703
"University education","Economical activity total","2013",4681
"University education","Economical activity total","2014",4782
"University education","Economical activity total","2015",4984
"University education","Economical activity total","2016",5301
"University education","Economical activity total","2017",5200
"University education","Economical activity total","2018",5366
"University education","Economical activity total","2019",5501
"University education","Economical activity total","2020",5116
"University education","Economical activity total","2021",5273
"University education","Economical activity total","2022",4608
"University education","Economical activity total","2023",4215
"University education","Economical activity total","2024",3829
"University education","Employed","1992",2185
"University education","Employed","1993",1699
"University education","Employed","1994",1368
"University education","Employed","1995",1406
"University education","Employed","1996",1388
"University education","Employed","1997",1409
"University education","Employed","1998",1414
"University education","Employed","1999",1526
"University education","Employed","2000",1628
"University education","Employed","2001",1717
"University education","Employed","2002",1966
"University education","Employed","2003",2172
"University education","Employed","2004",2735
"University education","Employed","2005",2968
"University education","Employed","2006",3453
"University education","Employed","2007",3890
"University education","Employed","2008",4147
"University education","Employed","2009",4222
"University education","Employed","2010",4404
"University education","Employed","2011",4043
"University education","Employed","2012",4164
"University education","Employed","2013",4109
"University education","Employed","2014",4201
"University education","Employed","2015",4347
"University education","Employed","2016",4693
"University education","Employed","2017",4639
"University education","Employed","2018",4767
"University education","Employed","2019",4920
"University education","Employed","2020",4498
"University education","Employed","2021",4618
"University education","Employed","2022",4002
"University education","Employed","2023",3619
"University education","Employed","2024",3274
"University education","Unemployed, not working","1992",3
"University education","Unemployed, not working","1993",27
"University education","Unemployed, not working","1994",51
"University education","Unemployed, not working","1995",28
"University education","Unemployed, not working","1996",44
"University education","Unemployed, not working","1997",38
"University education","Unemployed, not working","1998",41
"University education","Unemployed, not working","1999",44
"University education","Unemployed, not working","2000",48
"University education","Unemployed, not working","2001",45
"University education","Unemployed, not working","2002",45
"University education","Unemployed, not working","2003",54
"University education","Unemployed, not working","2004",48
"University education","Unemployed, not working","2005",44
"University education","Unemployed, not working","2006",45
"University education","Unemployed, not working","2007",36
"University education","Unemployed, not working","2008",24
"University education","Unemployed, not working","2009",88
"University education","Unemployed, not working","2010",119
"University education","Unemployed, not working","2011",102
"University education","Unemployed, not working","2012",109
"University education","Unemployed, not working","2013",112
"University education","Unemployed, not working","2014",104
"University education","Unemployed, not working","2015",126
"University education","Unemployed, not working","2016",92
"University education","Unemployed, not working","2017",88
"University education","Unemployed, not working","2018",83
"University education","Unemployed, not working","2019",89
"University education","Unemployed, not working","2020",90
"University education","Unemployed, not working","2021",118
"University education","Unemployed, not working","2022",96
"University education","Unemployed, not working","2023",124
"University education","Unemployed, not working","2024",93
"University education","Conscript","1992",0
"University education","Conscript","1993",0
"University education","Conscript","1994",0
"University education","Conscript","1995",0
"University education","Conscript","1996",0
"University education","Conscript","1997",0
"University education","Conscript","1998",0
"University education","Conscript","1999",0
"University education","Conscript","2000",0
"University education","Conscript","2001",0
"University education","Conscript","2002",0
"University education","Conscript","2003",0
"University education","Conscript","2004",0
"University education","Conscript","2005",0
"University education","Conscript","2006",0
"University education","Conscript","2007",0
"University education","Conscript","2008",0
"University education","Conscript","2009",0
"University education","Conscript","2010",0
"University education","Conscript","2011",0
"University education","Conscript","2012",0
"University education","Conscript","2013",0
"University education","Conscript","2014",0
"University education","Conscript","2015",0
"University education","Conscript","2016",1
"University education","Conscript","2017",0
"University education","Conscript","2018",1
"University education","Conscript","2019",0
"University education","Conscript","2020",1
"University education","Conscript","2021",0
"University education","Conscript","2022",2
"University education","Conscript","2023",0
"University education","Conscript","2024",0
"University education","In prison","1992",2
"University education","In prison","1993",0
"University education","In prison","1994",0
"University education","In prison","1995",0
"University education","In prison","1996",0
"University education","In prison","1997",0
"University education","In prison","1998",1
"University education","In prison","1999",0
"University education","In prison","2000",0
"University education","In prison","2001",0
"University education","In prison","2002",0
"University education","In prison","2003",0
"University education","In prison","2004",0
"University education","In prison","2005",0
"University education","In prison","2006",0
"University education","In prison","2007",0
"University education","In prison","2008",0
"University education","In prison","2009",0
"University education","In prison","2010",0
"University education","In prison","2011",0
"University education","In prison","2012",0
"University education","In prison","2013",0
"University education","In prison","2014",0
"University education","In prison","2015",0
"University education","In prison","2016",0
"University education","In prison","2017",0
"University education","In prison","2018",0
"University education","In prison","2019",0
"University education","In prison","2020",1
"University education","In prison","2021",1
"University education","In prison","2022",1
"University education","In prison","2023",3
"University education","In prison","2024",1
"University education","Student, university student","1992",46
"University education","Student, university student","1993",52
"University education","Student, university student","1994",40
"University education","Student, university student","1995",41
"University education","Student, university student","1996",20
"University education","Student, university student","1997",34
"University education","Student, university student","1998",24
"University education","Student, university student","1999",42
"University education","Student, university student","2000",34
"University education","Student, university student","2001",48
"University education","Student, university student","2002",43
"University education","Student, university student","2003",58
"University education","Student, university student","2004",47
"University education","Student, university student","2005",36
"University education","Student, university student","2006",38
"University education","Student, university student","2007",56
"University education","Student, university student","2008",46
"University education","Student, university student","2009",43
"University education","Student, university student","2010",48
"University education","Student, university student","2011",55
"University education","Student, university student","2012",47
"University education","Student, university student","2013",65
"University education","Student, university student","2014",72
"University education","Student, university student","2015",88
"University education","Student, university student","2016",102
"University education","Student, university student","2017",60
"University education","Student, university student","2018",73
"University education","Student, university student","2019",59
"University education","Student, university student","2020",60
"University education","Student, university student","2021",70
"University education","Student, university student","2022",43
"University education","Student, university student","2023",38
"University education","Student, university student","2024",46
"University education","Retired, person incapable of work","1992",0
"University education","Retired, person incapable of work","1993",0
"University education","Retired, person incapable of work","1994",0
"University education","Retired, person incapable of work","1995",3
"University education","Retired, person incapable of work","1996",1
"University education","Retired, person incapable of work","1997",2
"University education","Retired, person incapable of work","1998",1
"University education","Retired, person incapable of work","1999",2
"University education","Retired, person incapable of work","2000",2
"University education","Retired, person incapable of work","2001",1
"University education","Retired, person incapable of work","2002",0
"University education","Retired, person incapable of work","2003",1
"University education","Retired, person incapable of work","2004",1
"University education","Retired, person incapable of work","2005",1
"University education","Retired, person incapable of work","2006",0
"University education","Retired, person incapable of work","2007",2
"University education","Retired, person incapable of work","2008",0
"University education","Retired, person incapable of work","2009",1
"University education","Retired, person incapable of work","2010",0
"University education","Retired, person incapable of work","2011",5
"University education","Retired, person incapable of work","2012",3
"University education","Retired, person incapable of work","2013",5
"University education","Retired, person incapable of work","2014",3
"University education","Retired, person incapable of work","2015",12
"University education","Retired, person incapable of work","2016",4
"University education","Retired, person incapable of work","2017",2
"University education","Retired, person incapable of work","2018",3
"University education","Retired, person incapable of work","2019",2
"University education","Retired, person incapable of work","2020",5
"University education","Retired, person incapable of work","2021",3
"University education","Retired, person incapable of work","2022",4
"University education","Retired, person incapable of work","2023",9
"University education","Retired, person incapable of work","2024",6
"University education","Staying at home","1992",128
"University education","Staying at home","1993",227
"University education","Staying at home","1994",183
"University education","Staying at home","1995",184
"University education","Staying at home","1996",159
"University education","Staying at home","1997",155
"University education","Staying at home","1998",156
"University education","Staying at home","1999",149
"University education","Staying at home","2000",165
"University education","Staying at home","2001",172
"University education","Staying at home","2002",179
"University education","Staying at home","2003",161
"University education","Staying at home","2004",202
"University education","Staying at home","2005",218
"University education","Staying at home","2006",273
"University education","Staying at home","2007",258
"University education","Staying at home","2008",295
"University education","Staying at home","2009",298
"University education","Staying at home","2010",367
"University education","Staying at home","2011",401
"University education","Staying at home","2012",378
"University education","Staying at home","2013",388
"University education","Staying at home","2014",398
"University education","Staying at home","2015",409
"University education","Staying at home","2016",407
"University education","Staying at home","2017",408
"University education","Staying at home","2018",439
"University education","Staying at home","2019",427
"University education","Staying at home","2020",455
"University education","Staying at home","2021",462
"University education","Staying at home","2022",455
"University education","Staying at home","2023",419
"University education","Staying at home","2024",406
"University education","Economical activity unknown","1992",17
"University education","Economical activity unknown","1993",4
"University education","Economical activity unknown","1994",1
"University education","Economical activity unknown","1995",1
"University education","Economical activity unknown","1996",0
"University education","Economical activity unknown","1997",0
"University education","Economical activity unknown","1998",0
"University education","Economical activity unknown","1999",0
"University education","Economical activity unknown","2000",0
"University education","Economical activity unknown","2001",0
"University education","Economical activity unknown","2002",0
"University education","Economical activity unknown","2003",1
"University education","Economical activity unknown","2004",1
"University education","Economical activity unknown","2005",2
"University education","Economical activity unknown","2006",5
"University education","Economical activity unknown","2007",3
"University education","Economical activity unknown","2008",2
"University education","Economical activity unknown","2009",1
"University education","Economical activity unknown","2010",3
"University education","Economical activity unknown","2011",0
"University education","Economical activity unknown","2012",2
"University education","Economical activity unknown","2013",2
"University education","Economical activity unknown","2014",4
"University education","Economical activity unknown","2015",2
"University education","Economical activity unknown","2016",2
"University education","Economical activity unknown","2017",3
"University education","Economical activity unknown","2018",0
"University education","Economical activity unknown","2019",4
"University education","Economical activity unknown","2020",6
"University education","Economical activity unknown","2021",1
"University education","Economical activity unknown","2022",5
"University education","Economical activity unknown","2023",3
"University education","Economical activity unknown","2024",3
"Educational level unknown","Economical activity total","1992",110
"Educational level unknown","Economical activity total","1993",112
"Educational level unknown","Economical activity total","1994",78
"Educational level unknown","Economical activity total","1995",50
"Educational level unknown","Economical activity total","1996",58
"Educational level unknown","Economical activity total","1997",60
"Educational level unknown","Economical activity total","1998",48
"Educational level unknown","Economical activity total","1999",23
"Educational level unknown","Economical activity total","2000",11
"Educational level unknown","Economical activity total","2001",3
"Educational level unknown","Economical activity total","2002",3
"Educational level unknown","Economical activity total","2003",14
"Educational level unknown","Economical activity total","2004",7
"Educational level unknown","Economical activity total","2005",13
"Educational level unknown","Economical activity total","2006",10
"Educational level unknown","Economical activity total","2007",4
"Educational level unknown","Economical activity total","2008",9
"Educational level unknown","Economical activity total","2009",6
"Educational level unknown","Economical activity total","2010",8
"Educational level unknown","Economical activity total","2011",2
"Educational level unknown","Economical activity total","2012",0
"Educational level unknown","Economical activity total","2013",6
"Educational level unknown","Economical activity total","2014",11
"Educational level unknown","Economical activity total","2015",6
"Educational level unknown","Economical activity total","2016",6
"Educational level unknown","Economical activity total","2017",8
"Educational level unknown","Economical activity total","2018",4
"Educational level unknown","Economical activity total","2019",3
"Educational level unknown","Economical activity total","2020",27
"Educational level unknown","Economical activity total","2021",33
"Educational level unknown","Economical activity total","2022",19
"Educational level unknown","Economical activity total","2023",10
"Educational level unknown","Economical activity total","2024",43
"Educational level unknown","Employed","1992",58
"Educational level unknown","Employed","1993",59
"Educational level unknown","Employed","1994",44
"Educational level unknown","Employed","1995",31
"Educational level unknown","Employed","1996",26
"Educational level unknown","Employed","1997",38
"Educational level unknown","Employed","1998",23
"Educational level unknown","Employed","1999",13
"Educational level unknown","Employed","2000",4
"Educational level unknown","Employed","2001",1
"Educational level unknown","Employed","2002",1
"Educational level unknown","Employed","2003",7
"Educational level unknown","Employed","2004",5
"Educational level unknown","Employed","2005",7
"Educational level unknown","Employed","2006",5
"Educational level unknown","Employed","2007",1
"Educational level unknown","Employed","2008",7
"Educational level unknown","Employed","2009",5
"Educational level unknown","Employed","2010",3
"Educational level unknown","Employed","2011",0
"Educational level unknown","Employed","2012",0
"Educational level unknown","Employed","2013",2
"Educational level unknown","Employed","2014",3
"Educational level unknown","Employed","2015",1
"Educational level unknown","Employed","2016",2
"Educational level unknown","Employed","2017",3
"Educational level unknown","Employed","2018",1
"Educational level unknown","Employed","2019",2
"Educational level unknown","Employed","2020",14
"Educational level unknown","Employed","2021",20
"Educational level unknown","Employed","2022",5
"Educational level unknown","Employed","2023",1
"Educational level unknown","Employed","2024",21
"Educational level unknown","Unemployed, not working","1992",1
"Educational level unknown","Unemployed, not working","1993",4
"Educational level unknown","Unemployed, not working","1994",7
"Educational level unknown","Unemployed, not working","1995",3
"Educational level unknown","Unemployed, not working","1996",12
"Educational level unknown","Unemployed, not working","1997",4
"Educational level unknown","Unemployed, not working","1998",3
"Educational level unknown","Unemployed, not working","1999",3
"Educational level unknown","Unemployed, not working","2000",0
"Educational level unknown","Unemployed, not working","2001",0
"Educational level unknown","Unemployed, not working","2002",0
"Educational level unknown","Unemployed, not working","2003",2
"Educational level unknown","Unemployed, not working","2004",0
"Educational level unknown","Unemployed, not working","2005",1
"Educational level unknown","Unemployed, not working","2006",0
"Educational level unknown","Unemployed, not working","2007",1
"Educational level unknown","Unemployed, not working","2008",0
"Educational level unknown","Unemployed, not working","2009",0
"Educational level unknown","Unemployed, not working","2010",1
"Educational level unknown","Unemployed, not working","2011",1
"Educational level unknown","Unemployed, not working","2012",0
"Educational level unknown","Unemployed, not working","2013",0
"Educational level unknown","Unemployed, not working","2014",1
"Educational level unknown","Unemployed, not working","2015",1
"Educational level unknown","Unemployed, not working","2016",0
"Educational level unknown","Unemployed, not working","2017",0
"Educational level unknown","Unemployed, not working","2018",1
"Educational level unknown","Unemployed, not working","2019",1
"Educational level unknown","Unemployed, not working","2020",1
"Educational level unknown","Unemployed, not working","2021",0
"Educational level unknown","Unemployed, not working","2022",1
"Educational level unknown","Unemployed, not working","2023",0
"Educational level unknown","Unemployed, not working","2024",2
"Educational level unknown","Conscript","1992",0
"Educational level unknown","Conscript","1993",0
"Educational level unknown","Conscript","1994",1
"Educational level unknown","Conscript","1995",1
"Educational level unknown","Conscript","1996",0
"Educational level unknown","Conscript","1997",0
"Educational level unknown","Conscript","1998",0
"Educational level unknown","Conscript","1999",0
"Educational level unknown","Conscript","2000",0
"Educational level unknown","Conscript","2001",0
"Educational level unknown","Conscript","2002",0
"Educational level unknown","Conscript","2003",0
"Educational level unknown","Conscript","2004",0
"Educational level unknown","Conscript","2005",0
"Educational level unknown","Conscript","2006",0
"Educational level unknown","Conscript","2007",0
"Educational level unknown","Conscript","2008",0
"Educational level unknown","Conscript","2009",0
"Educational level unknown","Conscript","2010",0
"Educational level unknown","Conscript","2011",0
"Educational level unknown","Conscript","2012",0
"Educational level unknown","Conscript","2013",0
"Educational level unknown","Conscript","2014",0
"Educational level unknown","Conscript","2015",0
"Educational level unknown","Conscript","2016",0
"Educational level unknown","Conscript","2017",0
"Educational level unknown","Conscript","2018",0
"Educational level unknown","Conscript","2019",0
"Educational level unknown","Conscript","2020",0
"Educational level unknown","Conscript","2021",0
"Educational level unknown","Conscript","2022",0
"Educational level unknown","Conscript","2023",0
"Educational level unknown","Conscript","2024",0
"Educational level unknown","In prison","1992",0
"Educational level unknown","In prison","1993",1
"Educational level unknown","In prison","1994",0
"Educational level unknown","In prison","1995",0
"Educational level unknown","In prison","1996",0
"Educational level unknown","In prison","1997",0
"Educational level unknown","In prison","1998",0
"Educational level unknown","In prison","1999",0
"Educational level unknown","In prison","2000",0
"Educational level unknown","In prison","2001",0
"Educational level unknown","In prison","2002",0
"Educational level unknown","In prison","2003",0
"Educational level unknown","In prison","2004",0
"Educational level unknown","In prison","2005",0
"Educational level unknown","In prison","2006",0
"Educational level unknown","In prison","2007",0
"Educational level unknown","In prison","2008",0
"Educational level unknown","In prison","2009",0
"Educational level unknown","In prison","2010",0
"Educational level unknown","In prison","2011",0
"Educational level unknown","In prison","2012",0
"Educational level unknown","In prison","2013",0
"Educational level unknown","In prison","2014",0
"Educational level unknown","In prison","2015",0
"Educational level unknown","In prison","2016",0
"Educational level unknown","In prison","2017",0
"Educational level unknown","In prison","2018",0
"Educational level unknown","In prison","2019",0
"Educational level unknown","In prison","2020",0
"Educational level unknown","In prison","2021",0
"Educational level unknown","In prison","2022",0
"Educational level unknown","In prison","2023",0
"Educational level unknown","In prison","2024",0
"Educational level unknown","Student, university student","1992",3
"Educational level unknown","Student, university student","1993",9
"Educational level unknown","Student, university student","1994",6
"Educational level unknown","Student, university student","1995",1
"Educational level unknown","Student, university student","1996",7
"Educational level unknown","Student, university student","1997",6
"Educational level unknown","Student, university student","1998",4
"Educational level unknown","Student, university student","1999",2
"Educational level unknown","Student, university student","2000",0
"Educational level unknown","Student, university student","2001",0
"Educational level unknown","Student, university student","2002",0
"Educational level unknown","Student, university student","2003",0
"Educational level unknown","Student, university student","2004",0
"Educational level unknown","Student, university student","2005",0
"Educational level unknown","Student, university student","2006",2
"Educational level unknown","Student, university student","2007",0
"Educational level unknown","Student, university student","2008",0
"Educational level unknown","Student, university student","2009",0
"Educational level unknown","Student, university student","2010",0
"Educational level unknown","Student, university student","2011",0
"Educational level unknown","Student, university student","2012",0
"Educational level unknown","Student, university student","2013",0
"Educational level unknown","Student, university student","2014",0
"Educational level unknown","Student, university student","2015",0
"Educational level unknown","Student, university student","2016",0
"Educational level unknown","Student, university student","2017",0
"Educational level unknown","Student, university student","2018",0
"Educational level unknown","Student, university student","2019",0
"Educational level unknown","Student, university student","2020",0
"Educational level unknown","Student, university student","2021",0
"Educational level unknown","Student, university student","2022",0
"Educational level unknown","Student, university student","2023",0
"Educational level unknown","Student, university student","2024",0
"Educational level unknown","Retired, person incapable of work","1992",1
"Educational level unknown","Retired, person incapable of work","1993",2
"Educational level unknown","Retired, person incapable of work","1994",2
"Educational level unknown","Retired, person incapable of work","1995",0
"Educational level unknown","Retired, person incapable of work","1996",1
"Educational level unknown","Retired, person incapable of work","1997",0
"Educational level unknown","Retired, person incapable of work","1998",0
"Educational level unknown","Retired, person incapable of work","1999",0
"Educational level unknown","Retired, person incapable of work","2000",0
"Educational level unknown","Retired, person incapable of work","2001",0
"Educational level unknown","Retired, person incapable of work","2002",1
"Educational level unknown","Retired, person incapable of work","2003",0
"Educational level unknown","Retired, person incapable of work","2004",0
"Educational level unknown","Retired, person incapable of work","2005",1
"Educational level unknown","Retired, person incapable of work","2006",0
"Educational level unknown","Retired, person incapable of work","2007",0
"Educational level unknown","Retired, person incapable of work","2008",0
"Educational level unknown","Retired, person incapable of work","2009",1
"Educational level unknown","Retired, person incapable of work","2010",0
"Educational level unknown","Retired, person incapable of work","2011",0
"Educational level unknown","Retired, person incapable of work","2012",0
"Educational level unknown","Retired, person incapable of work","2013",0
"Educational level unknown","Retired, person incapable of work","2014",0
"Educational level unknown","Retired, person incapable of work","2015",0
"Educational level unknown","Retired, person incapable of work","2016",0
"Educational level unknown","Retired, person incapable of work","2017",1
"Educational level unknown","Retired, person incapable of work","2018",0
"Educational level unknown","Retired, person incapable of work","2019",0
"Educational level unknown","Retired, person incapable of work","2020",0
"Educational level unknown","Retired, person incapable of work","2021",0
"Educational level unknown","Retired, person incapable of work","2022",0
"Educational level unknown","Retired, person incapable of work","2023",0
"Educational level unknown","Retired, person incapable of work","2024",0
"Educational level unknown","Staying at home","1992",21
"Educational level unknown","Staying at home","1993",35
"Educational level unknown","Staying at home","1994",18
"Educational level unknown","Staying at home","1995",10
"Educational level unknown","Staying at home","1996",8
"Educational level unknown","Staying at home","1997",7
"Educational level unknown","Staying at home","1998",10
"Educational level unknown","Staying at home","1999",3
"Educational level unknown","Staying at home","2000",0
"Educational level unknown","Staying at home","2001",1
"Educational level unknown","Staying at home","2002",0
"Educational level unknown","Staying at home","2003",2
"Educational level unknown","Staying at home","2004",0
"Educational level unknown","Staying at home","2005",3
"Educational level unknown","Staying at home","2006",3
"Educational level unknown","Staying at home","2007",1
"Educational level unknown","Staying at home","2008",2
"Educational level unknown","Staying at home","2009",0
"Educational level unknown","Staying at home","2010",3
"Educational level unknown","Staying at home","2011",1
"Educational level unknown","Staying at home","2012",0
"Educational level unknown","Staying at home","2013",2
"Educational level unknown","Staying at home","2014",7
"Educational level unknown","Staying at home","2015",4
"Educational level unknown","Staying at home","2016",3
"Educational level unknown","Staying at home","2017",2
"Educational level unknown","Staying at home","2018",2
"Educational level unknown","Staying at home","2019",0
"Educational level unknown","Staying at home","2020",10
"Educational level unknown","Staying at home","2021",7
"Educational level unknown","Staying at home","2022",6
"Educational level unknown","Staying at home","2023",4
"Educational level unknown","Staying at home","2024",6
"Educational level unknown","Economical activity unknown","1992",26
"Educational level unknown","Economical activity unknown","1993",2
"Educational level unknown","Economical activity unknown","1994",0
"Educational level unknown","Economical activity unknown","1995",4
"Educational level unknown","Economical activity unknown","1996",4
"Educational level unknown","Economical activity unknown","1997",5
"Educational level unknown","Economical activity unknown","1998",8
"Educational level unknown","Economical activity unknown","1999",2
"Educational level unknown","Economical activity unknown","2000",7
"Educational level unknown","Economical activity unknown","2001",1
"Educational level unknown","Economical activity unknown","2002",1
"Educational level unknown","Economical activity unknown","2003",3
"Educational level unknown","Economical activity unknown","2004",2
"Educational level unknown","Economical activity unknown","2005",1
"Educational level unknown","Economical activity unknown","2006",0
"Educational level unknown","Economical activity unknown","2007",1
"Educational level unknown","Economical activity unknown","2008",0
"Educational level unknown","Economical activity unknown","2009",0
"Educational level unknown","Economical activity unknown","2010",1
"Educational level unknown","Economical activity unknown","2011",0
"Educational level unknown","Economical activity unknown","2012",0
"Educational level unknown","Economical activity unknown","2013",2
"Educational level unknown","Economical activity unknown","2014",0
"Educational level unknown","Economical activity unknown","2015",0
"Educational level unknown","Economical activity unknown","2016",1
"Educational level unknown","Economical activity unknown","2017",2
"Educational level unknown","Economical activity unknown","2018",0
"Educational level unknown","Economical activity unknown","2019",0
"Educational level unknown","Economical activity unknown","2020",2
"Educational level unknown","Economical activity unknown","2021",6
"Educational level unknown","Economical activity unknown","2022",7
"Educational level unknown","Economical activity unknown","2023",5
"Educational level unknown","Economical activity unknown","2024",14
