"Type of data","Self-estimated health","Sex","Education","Year","Self-estimated health"
"Unweighted","Average","Men and women","Secondary education","1992",58.8
"Unweighted","Average","Men and women","Secondary education","1994",55.1
"Unweighted","Average","Men and women","Secondary education","1996",51.7
"Unweighted","Average","Men and women","Secondary education","1998",52.2
"Unweighted","Average","Men and women","Secondary education","2000",50.3
"Unweighted","Average","Men and women","Secondary education","2002",49.2
"Unweighted","Average","Men and women","Secondary education","2004",46.9
"Unweighted","Average","Men and women","Secondary education","2006",47.5
"Unweighted","Average","Men and women","Secondary education","2008",41.0
"Unweighted","Average","Men and women","Secondary education","2010",43.0
"Unweighted","Average","Men and women","Secondary education","2012",41.1
"Unweighted","Average","Men and women","Secondary education","2014",40.3
"Unweighted","Average","Men and women","Secondary education","2016",42.2
"Unweighted","Average","Men and women","Secondary education","2018",43.7
"Unweighted","Average","Men and women","Secondary education","2020",31.9
"Unweighted","Average","Men and women","Secondary education","2022",32.0
"Unweighted","Average","Men and women","Secondary education","2024",41.2
"Unweighted","Average","Men and women","Secondary-vocational education","1990",68.6
"Unweighted","Average","Men and women","Secondary-vocational education","1992",58.5
"Unweighted","Average","Men and women","Secondary-vocational education","1994",59.3
"Unweighted","Average","Men and women","Secondary-vocational education","1996",56.3
"Unweighted","Average","Men and women","Secondary-vocational education","1998",56.5
"Unweighted","Average","Men and women","Secondary-vocational education","2000",53.8
"Unweighted","Average","Men and women","Secondary-vocational education","2002",48.2
"Unweighted","Average","Men and women","Secondary-vocational education","2004",49.8
"Unweighted","Average","Men and women","Secondary-vocational education","2006",48.5
"Unweighted","Average","Men and women","Secondary-vocational education","2008",45.6
"Unweighted","Average","Men and women","Secondary-vocational education","2010",47.5
"Unweighted","Average","Men and women","Secondary-vocational education","2012",44.2
"Unweighted","Average","Men and women","Secondary-vocational education","2014",44.6
"Unweighted","Average","Men and women","Secondary-vocational education","2016",41.8
"Unweighted","Average","Men and women","Secondary-vocational education","2018",47.7
"Unweighted","Average","Men and women","Secondary-vocational education","2020",42.6
"Unweighted","Average","Men and women","Secondary-vocational education","2022",38.5
"Unweighted","Average","Men and women","Secondary-vocational education","2024",34.6
"Unweighted","Average","Men and women","Basic or lower education","1990",67.7
"Unweighted","Average","Men and women","Basic or lower education","1992",65.0
"Unweighted","Average","Men and women","Basic or lower education","1994",65.0
"Unweighted","Average","Men and women","Basic or lower education","1996",62.2
"Unweighted","Average","Men and women","Basic or lower education","1998",59.8
"Unweighted","Average","Men and women","Basic or lower education","2000",56.2
"Unweighted","Average","Men and women","Basic or lower education","2002",55.2
"Unweighted","Average","Men and women","Basic or lower education","2004",48.9
"Unweighted","Average","Men and women","Basic or lower education","2006",46.4
"Unweighted","Average","Men and women","Basic or lower education","2008",42.5
"Unweighted","Average","Men and women","Basic or lower education","2010",44.5
"Unweighted","Average","Men and women","Basic or lower education","2012",40.8
"Unweighted","Average","Men and women","Basic or lower education","2014",46.1
"Unweighted","Average","Men and women","Basic or lower education","2016",43.3
"Unweighted","Average","Men and women","Basic or lower education","2018",42.8
"Unweighted","Average","Men and women","Basic or lower education","2020",35.2
"Unweighted","Average","Men and women","Basic or lower education","2022",40.2
"Unweighted","Average","Men and women","Basic or lower education","2024",44.7
"Unweighted","Average","Men","Higher education","1990",47.8
"Unweighted","Average","Men","Higher education","1992",46.0
"Unweighted","Average","Men","Higher education","1994",60.3
"Unweighted","Average","Men","Higher education","1996",42.9
"Unweighted","Average","Men","Higher education","1998",47.1
"Unweighted","Average","Men","Higher education","2000",44.9
"Unweighted","Average","Men","Higher education","2002",39.7
"Unweighted","Average","Men","Higher education","2004",40.3
"Unweighted","Average","Men","Higher education","2006",31.0
"Unweighted","Average","Men","Higher education","2008",31.4
"Unweighted","Average","Men","Higher education","2010",36.4
"Unweighted","Average","Men","Higher education","2012",32.1
"Unweighted","Average","Men","Higher education","2014",23.9
"Unweighted","Average","Men","Higher education","2016",29.9
"Unweighted","Average","Men","Higher education","2018",36.1
"Unweighted","Average","Men","Higher education","2020",26.1
"Unweighted","Average","Men","Higher education","2022",27.3
"Unweighted","Average","Men","Higher education","2024",29.2
"Unweighted","Average","Men","Secondary education","1990",63.4
"Unweighted","Average","Men","Secondary education","1992",57.8
"Unweighted","Average","Men","Secondary education","1994",54.6
"Unweighted","Average","Men","Secondary education","1996",46.2
"Unweighted","Average","Men","Secondary education","1998",49.7
"Unweighted","Average","Men","Secondary education","2000",48.2
"Unweighted","Average","Men","Secondary education","2002",50.3
"Unweighted","Average","Men","Secondary education","2004",46.2
"Unweighted","Average","Men","Secondary education","2006",48.0
"Unweighted","Average","Men","Secondary education","2008",42.8
"Unweighted","Average","Men","Secondary education","2010",44.0
"Unweighted","Average","Men","Secondary education","2012",40.2
"Unweighted","Average","Men","Secondary education","2014",41.6
"Unweighted","Average","Men","Secondary education","2016",39.8
"Unweighted","Average","Men","Secondary education","2018",41.4
"Unweighted","Average","Men","Secondary education","2020",39.7
"Unweighted","Average","Men","Secondary education","2022",29.9
"Unweighted","Average","Men","Secondary education","2024",37.7
"Unweighted","Average","Men","Secondary-vocational education","1990",67.9
"Unweighted","Average","Men","Secondary-vocational education","1992",53.5
"Unweighted","Average","Men","Secondary-vocational education","1994",59.3
"Unweighted","Average","Men","Secondary-vocational education","1996",53.6
"Unweighted","Average","Men","Secondary-vocational education","1998",53.1
"Unweighted","Average","Men","Secondary-vocational education","2000",59.1
"Unweighted","Average","Men","Secondary-vocational education","2002",41.2
"Unweighted","Average","Men","Secondary-vocational education","2004",47.0
"Unweighted","Average","Men","Secondary-vocational education","2006",48.8
"Unweighted","Average","Men","Secondary-vocational education","2008",46.7
"Unweighted","Average","Men","Secondary-vocational education","2010",44.6
"Unweighted","Average","Men","Secondary-vocational education","2012",45.8
"Unweighted","Average","Men","Secondary-vocational education","2014",43.5
"Unweighted","Average","Men","Secondary-vocational education","2016",45.0
"Unweighted","Average","Men","Secondary-vocational education","2018",47.2
"Unweighted","Average","Men","Secondary-vocational education","2020",43.0
"Unweighted","Average","Men","Secondary-vocational education","2022",39.9
"Unweighted","Average","Men","Secondary-vocational education","2024",29.6
"Unweighted","Average","Men","Basic or lower education","1990",65.7
"Unweighted","Average","Men","Basic or lower education","1992",65.8
"Unweighted","Average","Men","Basic or lower education","1994",60.5
"Unweighted","Average","Men","Basic or lower education","1996",59.4
"Unweighted","Average","Men","Basic or lower education","1998",58.2
"Unweighted","Average","Men","Basic or lower education","2000",49.6
"Unweighted","Average","Men","Basic or lower education","2002",51.5
"Unweighted","Average","Men","Basic or lower education","2004",44.3
"Unweighted","Average","Men","Basic or lower education","2006",45.7
"Unweighted","Average","Men","Basic or lower education","2008",42.1
"Unweighted","Average","Men","Basic or lower education","2010",45.0
"Unweighted","Average","Men","Basic or lower education","2012",42.2
"Unweighted","Average","Men","Basic or lower education","2014",45.5
"Unweighted","Average","Men","Basic or lower education","2016",46.9
"Unweighted","Average","Men","Basic or lower education","2018",42.1
"Unweighted","Average","Men","Basic or lower education","2020",33.9
"Unweighted","Average","Men","Basic or lower education","2022",39.7
"Unweighted","Average","Men","Basic or lower education","2024",43.4
"Unweighted","Average","Women","Higher education","1990",57.7
"Unweighted","Average","Women","Higher education","1992",56.6
"Unweighted","Average","Women","Higher education","1994",62.2
"Unweighted","Average","Women","Higher education","1996",40.6
"Unweighted","Average","Women","Higher education","1998",51.0
"Unweighted","Average","Women","Higher education","2000",52.0
"Unweighted","Average","Women","Higher education","2002",48.7
"Unweighted","Average","Women","Higher education","2004",37.2
"Unweighted","Average","Women","Higher education","2006",36.6
"Unweighted","Average","Women","Higher education","2008",32.2
"Unweighted","Average","Women","Higher education","2010",28.2
"Unweighted","Average","Women","Higher education","2012",25.4
"Unweighted","Average","Women","Higher education","2014",28.7
"Unweighted","Average","Women","Higher education","2016",27.6
"Unweighted","Average","Women","Higher education","2018",31.9
"Unweighted","Average","Women","Higher education","2020",26.1
"Unweighted","Average","Women","Higher education","2022",28.3
"Unweighted","Average","Women","Higher education","2024",30.6
"Unweighted","Average","Women","Secondary education","1990",55.9
"Unweighted","Average","Women","Secondary education","1992",59.5
"Unweighted","Average","Women","Secondary education","1994",55.6
"Unweighted","Average","Women","Secondary education","1996",56.3
"Unweighted","Average","Women","Secondary education","1998",54.2
"Unweighted","Average","Women","Secondary education","2000",51.6
"Unweighted","Average","Women","Secondary education","2002",48.4
"Unweighted","Average","Women","Secondary education","2004",47.4
"Unweighted","Average","Women","Secondary education","2006",47.2
"Unweighted","Average","Women","Secondary education","2008",39.6
"Unweighted","Average","Women","Secondary education","2010",42.3
"Unweighted","Average","Women","Secondary education","2012",41.9
"Unweighted","Average","Women","Secondary education","2014",39.2
"Unweighted","Average","Women","Secondary education","2016",44.1
"Unweighted","Average","Women","Secondary education","2018",45.3
"Unweighted","Average","Women","Secondary education","2020",26.2
"Unweighted","Average","Women","Secondary education","2022",34.0
"Unweighted","Average","Women","Secondary education","2024",44.2
"Unweighted","Average","Women","Secondary-vocational education","1990",69.1
"Unweighted","Average","Women","Secondary-vocational education","1992",63.7
"Unweighted","Average","Women","Secondary-vocational education","1994",59.2
"Unweighted","Average","Women","Secondary-vocational education","1996",58.1
"Unweighted","Average","Women","Secondary-vocational education","1998",59.1
"Unweighted","Average","Women","Secondary-vocational education","2000",50.5
"Unweighted","Average","Women","Secondary-vocational education","2002",52.4
"Unweighted","Average","Women","Secondary-vocational education","2004",51.7
"Unweighted","Average","Women","Secondary-vocational education","2006",48.3
"Unweighted","Average","Women","Secondary-vocational education","2008",44.6
"Unweighted","Average","Women","Secondary-vocational education","2010",49.7
"Unweighted","Average","Women","Secondary-vocational education","2012",42.9
"Unweighted","Average","Women","Secondary-vocational education","2014",45.3
"Unweighted","Average","Women","Secondary-vocational education","2016",39.5
"Unweighted","Average","Women","Secondary-vocational education","2018",48.1
"Unweighted","Average","Women","Secondary-vocational education","2020",42.4
"Unweighted","Average","Women","Secondary-vocational education","2022",37.3
"Unweighted","Average","Women","Secondary-vocational education","2024",38.9
"Unweighted","Average","Women","Basic or lower education","1990",69.7
"Unweighted","Average","Women","Basic or lower education","1992",64.1
"Unweighted","Average","Women","Basic or lower education","1994",69.1
"Unweighted","Average","Women","Basic or lower education","1996",65.2
"Unweighted","Average","Women","Basic or lower education","1998",61.8
"Unweighted","Average","Women","Basic or lower education","2000",64.8
"Unweighted","Average","Women","Basic or lower education","2002",60.0
"Unweighted","Average","Women","Basic or lower education","2004",53.7
"Unweighted","Average","Women","Basic or lower education","2006",47.1
"Unweighted","Average","Women","Basic or lower education","2008",42.9
"Unweighted","Average","Women","Basic or lower education","2010",43.8
"Unweighted","Average","Women","Basic or lower education","2012",39.2
"Unweighted","Average","Women","Basic or lower education","2014",46.6
"Unweighted","Average","Women","Basic or lower education","2016",39.3
"Unweighted","Average","Women","Basic or lower education","2018",43.5
"Unweighted","Average","Women","Basic or lower education","2020",36.7
"Unweighted","Average","Women","Basic or lower education","2022",40.9
"Unweighted","Average","Women","Basic or lower education","2024",46.3
"Unweighted","Poor or rather poor","Men and women","Higher education","1990",4.4
"Unweighted","Poor or rather poor","Men and women","Higher education","1992",5.7
"Unweighted","Poor or rather poor","Men and women","Higher education","1994",10.2
"Unweighted","Poor or rather poor","Men and women","Higher education","1996",7.5
"Unweighted","Poor or rather poor","Men and women","Higher education","1998",8.9
"Unweighted","Poor or rather poor","Men and women","Higher education","2000",6.6
"Unweighted","Poor or rather poor","Men and women","Higher education","2002",6.9
"Unweighted","Poor or rather poor","Men and women","Higher education","2004",6.1
"Unweighted","Poor or rather poor","Men and women","Higher education","2006",5.3
"Unweighted","Poor or rather poor","Men and women","Higher education","2008",4.0
"Unweighted","Poor or rather poor","Men and women","Higher education","2010",5.7
"Unweighted","Poor or rather poor","Men and women","Higher education","2012",6.2
"Unweighted","Poor or rather poor","Men and women","Higher education","2014",5.9
"Unweighted","Poor or rather poor","Men and women","Higher education","2016",3.7
"Unweighted","Poor or rather poor","Men and women","Higher education","2018",5.8
"Unweighted","Poor or rather poor","Men and women","Higher education","2020",3.6
"Unweighted","Poor or rather poor","Men and women","Higher education","2022",5.1
"Unweighted","Poor or rather poor","Men and women","Higher education","2024",5.5
"Unweighted","Poor or rather poor","Men and women","Secondary education","1990",10.5
"Unweighted","Poor or rather poor","Men and women","Secondary education","1992",6.6
"Unweighted","Poor or rather poor","Men and women","Secondary education","1994",8.2
"Unweighted","Poor or rather poor","Men and women","Secondary education","1996",10.3
"Unweighted","Poor or rather poor","Men and women","Secondary education","1998",7.8
"Unweighted","Poor or rather poor","Men and women","Secondary education","2000",10.5
"Unweighted","Poor or rather poor","Men and women","Secondary education","2002",11.8
"Unweighted","Poor or rather poor","Men and women","Secondary education","2004",10.6
"Unweighted","Poor or rather poor","Men and women","Secondary education","2006",8.7
"Unweighted","Poor or rather poor","Men and women","Secondary education","2008",9.6
"Unweighted","Poor or rather poor","Men and women","Secondary education","2010",10.9
"Unweighted","Poor or rather poor","Men and women","Secondary education","2012",11.1
"Unweighted","Poor or rather poor","Men and women","Secondary education","2014",11.6
"Unweighted","Poor or rather poor","Men and women","Secondary education","2016",8.8
"Unweighted","Poor or rather poor","Men and women","Secondary education","2018",8.2
"Unweighted","Poor or rather poor","Men and women","Secondary education","2020",11.6
"Unweighted","Poor or rather poor","Men and women","Secondary education","2022",9.8
"Unweighted","Poor or rather poor","Men and women","Secondary education","2024",12.5
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","1990",8.9
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","1992",7.4
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","1994",6.6
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","1996",6.8
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","1998",8.3
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2000",10.6
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2002",8.9
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2004",10.1
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2006",9.9
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2008",9.5
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2010",11.2
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2012",11.5
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2014",11.9
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2016",13.3
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2018",11.5
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2020",11.9
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2022",12.2
"Unweighted","Poor or rather poor","Men and women","Secondary-vocational education","2024",12.6
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","1990",19.5
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","1992",12.6
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","1994",15.6
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","1996",15.8
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","1998",15.2
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2000",13.6
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2002",14.1
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2004",17.9
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2006",17.6
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2008",12.9
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2010",15.2
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2012",15.8
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2014",12.0
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2016",14.2
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2018",14.7
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2020",17.6
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2022",12.2
"Unweighted","Poor or rather poor","Men and women","Basic or lower education","2024",12.0
"Unweighted","Poor or rather poor","Men","Higher education","1990",5.8
"Unweighted","Poor or rather poor","Men","Higher education","1992",4.1
"Unweighted","Poor or rather poor","Men","Higher education","1994",11.8
"Unweighted","Poor or rather poor","Men","Higher education","1996",5.1
"Unweighted","Poor or rather poor","Men","Higher education","1998",8.6
"Unweighted","Poor or rather poor","Men","Higher education","2000",3.8
"Unweighted","Poor or rather poor","Men","Higher education","2002",12.3
"Unweighted","Poor or rather poor","Men","Higher education","2004",7.4
"Unweighted","Poor or rather poor","Men","Higher education","2006",5.6
"Unweighted","Poor or rather poor","Men","Higher education","2008",6.2
"Unweighted","Poor or rather poor","Men","Higher education","2010",5.0
"Unweighted","Poor or rather poor","Men","Higher education","2012",8.2
"Unweighted","Poor or rather poor","Men","Higher education","2014",5.9
"Unweighted","Poor or rather poor","Men","Higher education","2016",5.6
"Unweighted","Poor or rather poor","Men","Higher education","2018",5.8
"Unweighted","Poor or rather poor","Men","Higher education","2020",3.5
"Unweighted","Poor or rather poor","Men","Higher education","2022",5.2
"Unweighted","Poor or rather poor","Men","Higher education","2024",5.8
"Unweighted","Poor or rather poor","Men","Secondary education","1990",5.0
"Unweighted","Poor or rather poor","Men","Secondary education","1992",5.2
"Unweighted","Poor or rather poor","Men","Secondary education","1994",4.2
"Unweighted","Poor or rather poor","Men","Secondary education","1996",9.2
"Unweighted","Poor or rather poor","Men","Secondary education","1998",7.7
"Unweighted","Poor or rather poor","Men","Secondary education","2000",13.1
"Unweighted","Poor or rather poor","Men","Secondary education","2002",8.1
"Unweighted","Poor or rather poor","Men","Secondary education","2004",10.6
"Unweighted","Poor or rather poor","Men","Secondary education","2006",9.2
"Unweighted","Poor or rather poor","Men","Secondary education","2008",9.6
"Unweighted","Poor or rather poor","Men","Secondary education","2010",12.4
"Unweighted","Poor or rather poor","Men","Secondary education","2012",11.9
"Unweighted","Poor or rather poor","Men","Secondary education","2014",11.4
"Unweighted","Poor or rather poor","Men","Secondary education","2016",8.6
"Unweighted","Poor or rather poor","Men","Secondary education","2018",10.5
"Unweighted","Poor or rather poor","Men","Secondary education","2020",10.3
"Unweighted","Poor or rather poor","Men","Secondary education","2022",9.4
"Unweighted","Poor or rather poor","Men","Secondary education","2024",11.5
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","1990",5.4
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","1992",6.4
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","1994",6.0
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","1996",6.8
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","1998",9.4
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2000",4.4
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2002",10.3
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2004",9.3
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2006",11.0
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2008",10.1
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2010",12.0
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2012",12.4
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2014",13.0
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2016",12.2
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2018",13.0
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2020",13.3
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2022",11.6
"Unweighted","Poor or rather poor","Men","Secondary-vocational education","2024",12.3
"Unweighted","Poor or rather poor","Men","Basic or lower education","1990",19.3
"Unweighted","Poor or rather poor","Men","Basic or lower education","1992",8.9
"Unweighted","Poor or rather poor","Men","Basic or lower education","1994",11.3
"Unweighted","Poor or rather poor","Men","Basic or lower education","1996",13.9
"Unweighted","Poor or rather poor","Men","Basic or lower education","1998",11.2
"Unweighted","Poor or rather poor","Men","Basic or lower education","2000",13.1
"Unweighted","Poor or rather poor","Men","Basic or lower education","2002",14.7
"Unweighted","Poor or rather poor","Men","Basic or lower education","2004",19.0
"Unweighted","Poor or rather poor","Men","Basic or lower education","2006",16.7
"Unweighted","Poor or rather poor","Men","Basic or lower education","2008",14.2
"Unweighted","Poor or rather poor","Men","Basic or lower education","2010",16.9
"Unweighted","Poor or rather poor","Men","Basic or lower education","2012",14.9
"Unweighted","Poor or rather poor","Men","Basic or lower education","2014",14.5
"Unweighted","Poor or rather poor","Men","Basic or lower education","2016",13.5
"Unweighted","Poor or rather poor","Men","Basic or lower education","2018",14.6
"Unweighted","Poor or rather poor","Men","Basic or lower education","2020",19.1
"Unweighted","Poor or rather poor","Men","Basic or lower education","2022",12.1
"Unweighted","Poor or rather poor","Men","Basic or lower education","2024",13.3
"Unweighted","Poor or rather poor","Women","Higher education","1990",3.6
"Unweighted","Poor or rather poor","Women","Higher education","1992",7.2
"Unweighted","Poor or rather poor","Women","Higher education","1994",9.5
"Unweighted","Poor or rather poor","Women","Higher education","1996",9.4
"Unweighted","Poor or rather poor","Women","Higher education","1998",9.0
"Unweighted","Poor or rather poor","Women","Higher education","2000",8.1
"Unweighted","Poor or rather poor","Women","Higher education","2002",4.4
"Unweighted","Poor or rather poor","Women","Higher education","2004",5.4
"Unweighted","Poor or rather poor","Women","Higher education","2006",5.1
"Unweighted","Poor or rather poor","Women","Higher education","2008",3.1
"Unweighted","Poor or rather poor","Women","Higher education","2010",6.0
"Unweighted","Poor or rather poor","Women","Higher education","2012",5.3
"Unweighted","Poor or rather poor","Women","Higher education","2014",5.9
"Unweighted","Poor or rather poor","Women","Higher education","2016",2.8
"Unweighted","Poor or rather poor","Women","Higher education","2018",5.8
"Unweighted","Poor or rather poor","Women","Higher education","2020",3.7
"Unweighted","Poor or rather poor","Women","Higher education","2022",5.0
"Unweighted","Poor or rather poor","Women","Higher education","2024",5.4
"Unweighted","Poor or rather poor","Women","Secondary education","1990",15.0
"Unweighted","Poor or rather poor","Women","Secondary education","1992",7.6
"Unweighted","Poor or rather poor","Women","Secondary education","1994",11.7
"Unweighted","Poor or rather poor","Women","Secondary education","1996",11.3
"Unweighted","Poor or rather poor","Women","Secondary education","1998",7.8
"Unweighted","Poor or rather poor","Women","Secondary education","2000",8.8
"Unweighted","Poor or rather poor","Women","Secondary education","2002",14.2
"Unweighted","Poor or rather poor","Women","Secondary education","2004",10.5
"Unweighted","Poor or rather poor","Women","Secondary education","2006",8.4
"Unweighted","Poor or rather poor","Women","Secondary education","2008",9.7
"Unweighted","Poor or rather poor","Women","Secondary education","2010",9.9
"Unweighted","Poor or rather poor","Women","Secondary education","2012",10.5
"Unweighted","Poor or rather poor","Women","Secondary education","2014",11.8
"Unweighted","Poor or rather poor","Women","Secondary education","2016",8.9
"Unweighted","Poor or rather poor","Women","Secondary education","2018",6.6
"Unweighted","Poor or rather poor","Women","Secondary education","2020",12.5
"Unweighted","Poor or rather poor","Women","Secondary education","2022",10.2
"Unweighted","Poor or rather poor","Women","Secondary education","2024",13.3
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","1990",11.3
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","1992",8.3
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","1994",7.1
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","1996",6.8
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","1998",7.5
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2000",14.4
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2002",8.1
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2004",10.7
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2006",9.2
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2008",9.1
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2010",10.5
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2012",10.9
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2014",11.1
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2016",14.0
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2018",10.3
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2020",10.8
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2022",12.7
"Unweighted","Poor or rather poor","Women","Secondary-vocational education","2024",12.8
"Unweighted","Poor or rather poor","Women","Basic or lower education","1990",19.7
"Unweighted","Poor or rather poor","Women","Basic or lower education","1992",17.2
"Unweighted","Poor or rather poor","Women","Basic or lower education","1994",19.4
"Unweighted","Poor or rather poor","Women","Basic or lower education","1996",17.7
"Unweighted","Poor or rather poor","Women","Basic or lower education","1998",20.0
"Unweighted","Poor or rather poor","Women","Basic or lower education","2000",14.3
"Unweighted","Poor or rather poor","Women","Basic or lower education","2002",13.3
"Unweighted","Poor or rather poor","Women","Basic or lower education","2004",16.7
"Unweighted","Poor or rather poor","Women","Basic or lower education","2006",18.4
"Unweighted","Poor or rather poor","Women","Basic or lower education","2008",11.3
"Unweighted","Poor or rather poor","Women","Basic or lower education","2010",13.0
"Unweighted","Poor or rather poor","Women","Basic or lower education","2012",16.9
"Unweighted","Poor or rather poor","Women","Basic or lower education","2014",9.5
"Unweighted","Poor or rather poor","Women","Basic or lower education","2016",14.9
"Unweighted","Poor or rather poor","Women","Basic or lower education","2018",14.9
"Unweighted","Poor or rather poor","Women","Basic or lower education","2020",16.0
"Unweighted","Poor or rather poor","Women","Basic or lower education","2022",12.4
"Unweighted","Poor or rather poor","Women","Basic or lower education","2024",10.4
