"Diagnosis (ICD-10)","Sex","Age group","Year","Incidence of psychiatric disorders"
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","35-44","2018",831
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","35-44","2019",937
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","35-44","2020",868
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","35-44","2021",1003
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","35-44","2022",1146
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","35-44","2023",1099
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","35-44","2024",1240
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","1998",736
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","1999",791
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2000",871
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2001",954
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2002",909
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2003",947
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2004",865
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2005",973
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2006",1055
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2007",1032
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2008",981
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2009",803
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2010",877
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2011",825
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2012",811
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2013",819
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2014",809
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2015",747
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2016",811
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2017",785
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2018",688
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2019",810
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2020",737
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2021",880
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2022",965
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2023",925
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","45-54","2024",949
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","1998",420
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","1999",446
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2000",511
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2001",517
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2002",480
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2003",590
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2004",566
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2005",580
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2006",672
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2007",694
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2008",661
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2009",583
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2010",613
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2011",700
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2012",698
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2013",736
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2014",624
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2015",619
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2016",612
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2017",726
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2018",608
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2019",664
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2020",689
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2021",787
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2022",789
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2023",700
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","55-64","2024",721
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","1998",220
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","1999",233
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2000",252
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2001",195
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2002",258
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2003",292
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2004",297
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2005",332
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2006",331
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2007",436
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2008",379
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2009",339
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2010",317
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2011",421
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2012",331
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2013",360
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2014",333
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2015",348
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2016",350
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2017",342
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2018",323
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2019",341
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2020",348
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2021",300
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2022",319
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2023",325
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","65-74","2024",306
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","1998",53
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","1999",59
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2000",69
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2001",65
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2002",63
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2003",72
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2004",76
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2005",104
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2006",118
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2007",187
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2008",202
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2009",153
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2010",138
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2011",149
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2012",138
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2013",180
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2014",176
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2015",206
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2016",200
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2017",218
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2018",193
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2019",181
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2020",139
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2021",161
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2022",193
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2023",152
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75 and older","2024",159
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","1998",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","1999",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2000",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2001",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2002",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2003",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2004",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2005",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2006",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2007",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2008",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2009",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2010",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2011",137
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2012",124
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2013",166
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2014",159
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2015",193
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2016",178
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2017",202
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2018",177
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2019",161
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2020",123
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2021",140
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2022",165
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2023",137
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","75-84","2024",134
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","1998",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","1999",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2000",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2001",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2002",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2003",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2004",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2005",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2006",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2007",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2008",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2009",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2010",..
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2011",12
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2012",14
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2013",14
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2014",17
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2015",13
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2016",22
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2017",16
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2018",16
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2019",20
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2020",16
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2021",21
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2022",28
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2023",15
"Neurotic, stress-related and somatoform disorders (F40-F48)","Women","85 and older","2024",25
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","1998",454
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","1999",429
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2000",1436
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2001",985
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2002",484
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2003",488
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2004",536
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2005",625
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2006",642
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2007",1077
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2008",1551
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2009",1129
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2010",1334
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2011",1298
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2012",1800
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2013",1704
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2014",1190
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2015",1240
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2016",1217
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2017",1347
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2018",1431
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2019",1292
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2020",679
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2021",1124
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2022",1101
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2023",1219
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","All age groups","2024",1436
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","1998",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","1999",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2000",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2001",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2002",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2003",1
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2004",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2005",1
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2006",4
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2007",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2008",1
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2009",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2010",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2011",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2012",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2013",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2014",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2015",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2016",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2017",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2018",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2019",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2020",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2021",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2022",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2023",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","0","2024",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","1998",11
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","1999",13
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2000",15
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2001",21
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2002",12
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2003",19
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2004",14
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2005",8
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2006",18
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2007",12
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2008",17
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2009",6
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2010",13
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2011",14
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2012",6
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2013",8
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2014",6
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2015",1
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2016",2
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2017",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2018",2
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2019",1
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2020",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2021",2
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2022",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2023",0
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","1-4","2024",4
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","1998",37
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","1999",42
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2000",33
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2001",31
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2002",19
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2003",18
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2004",19
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2005",25
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2006",18
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2007",30
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2008",22
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2009",17
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2010",18
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2011",21
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2012",22
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2013",22
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2014",10
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2015",5
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2016",7
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2017",7
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2018",5
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2019",11
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2020",8
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2021",4
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2022",5
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2023",3
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","5-9","2024",7
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","1998",33
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","1999",36
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2000",39
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2001",34
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2002",34
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2003",19
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2004",25
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2005",25
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2006",23
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2007",20
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2008",29
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2009",13
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2010",16
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2011",18
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2012",28
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2013",41
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2014",29
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2015",51
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2016",35
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2017",28
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2018",36
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2019",32
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2020",36
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2021",31
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2022",30
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2023",43
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","10-14","2024",37
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","1998",38
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","1999",56
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2000",313
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2001",146
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2002",83
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2003",83
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2004",82
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2005",71
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2006",89
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2007",176
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2008",193
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2009",154
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2010",97
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2011",104
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2012",92
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2013",104
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2014",80
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2015",69
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2016",84
"Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59)","Men and women","15-19","2017",68
